s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,4000,0.09902770105683628,1.0,1
<A_ACCEPTED | 14>,A_FINALIZED,<A_FINALIZED | 88>,1.0,0.0,427,0.08398735699695307,0.9990242857544355,1
<A_ACCEPTED | 16>,A_FINALIZED,<A_FINALIZED | 27>,0.3283582089552239,0.0,66,0.08306522213564968,0.946248412932283,1
<A_ACCEPTED | 16>,A_FINALIZED,<A_FINALIZED | 7>,0.4975124378109453,0.0,100,0.08306522213564968,0.946248412932283,1
<A_ACCEPTED | 16>,A_FINALIZED,<A_FINALIZED | 88>,0.1741293532338308,0.0,35,0.08306522213564968,0.946248412932283,1
<A_ACCEPTED | 32>,A_FINALIZED,<A_FINALIZED | 7>,1.0,0.0,270,0.10533400967893085,0.9840181950065053,1
<A_ACCEPTED | 49>,A_FINALIZED,<A_FINALIZED | 7>,1.0,0.0,695,0.10704390610733087,0.9999918506401503,1
<A_ACCEPTED | 98>,A_FINALIZED,<A_FINALIZED | 27>,0.85,0.0,34,0.01787727687292521,0.3426949069654599,1
<A_ACCEPTED | 98>,A_FINALIZED,<A_FINALIZED | 98>,0.15,0.0,6,0.01787727687292521,0.3426949069654599,1
<A_ACTIVATED | 17>,END,<END | 6>,0.6447368421052632,0.6785311707847365,49,0.35664379291803316,0.590589889456075,1
<A_ACTIVATED | 17>,END,<END | 81>,0.3552631578947368,0.4683941828173956,27,0.35664379291803316,0.590589889456075,1
<A_ACTIVATED | 48>,END,<END | 25>,0.4481132075471698,0.5142460354616425,95,0.6114954200652545,0.9556217637868031,1
<A_ACTIVATED | 48>,END,<END | 31>,0.2264150943396226,0.37091428262552034,48,0.6114954200652545,0.9556217637868031,1
<A_ACTIVATED | 48>,END,<END | 47>,0.3254716981132075,0.999999999999999,69,0.6114954200652545,0.9556217637868031,1
<A_ACTIVATED | 57>,END,<END | 47>,1.0,0.9999999999999998,1,0.008928334176054318,0.00892833417605432,1
<A_ACTIVATED | 59>,END,<END | 68>,0.0482758620689655,0.9405573204742266,7,0.4238345869097078,0.8603376702204935,1
<A_ACTIVATED | 59>,END,<END | 6>,0.0068965517241379,0.6785311707847359,1,0.4238345869097078,0.8603376702204935,1
<A_ACTIVATED | 59>,END,<END | 81>,0.9448275862068966,0.4683941828173972,137,0.4238345869097078,0.8603376702204935,1
<A_ACTIVATED | 5>,END,<END | 25>,0.0434782608695652,0.5142460354616418,7,0.4949059626602357,0.8931933404003516,1
<A_ACTIVATED | 5>,END,<END | 31>,0.5093167701863354,0.37091428262552056,82,0.4949059626602357,0.8931933404003516,1
<A_ACTIVATED | 5>,END,<END | 39>,0.1490683229813664,0.36906476474374644,24,0.4949059626602357,0.8931933404003516,1
<A_ACTIVATED | 5>,END,<END | 47>,0.124223602484472,1.0,20,0.4949059626602357,0.8931933404003516,1
<A_ACTIVATED | 5>,END,<END | 68>,0.1739130434782608,0.9405573204742274,28,0.4949059626602357,0.8931933404003516,1
<A_ACTIVATED | 64>,END,<END | 31>,0.0333333333333333,0.37091428262551995,9,0.586087926829687,0.9840181950065053,1
<A_ACTIVATED | 64>,END,<END | 39>,0.5703703703703704,0.3690647647437467,154,0.586087926829687,0.9840181950065053,1
<A_ACTIVATED | 64>,END,<END | 68>,0.3962962962962963,0.9405573204742278,107,0.586087926829687,0.9840181950065053,1
<A_ACTIVATED | 82>,END,<END | 25>,0.1276595744680851,0.5142460354616418,6,0.24492103865405984,0.39662951570537697,1
<A_ACTIVATED | 82>,END,<END | 55>,0.8723404255319149,0.6326170204733,41,0.24492103865405984,0.39662951570537697,1
<A_ACTIVATED | 94>,END,<END | 6>,1.0,0.6785311707847368,71,0.3804873113393207,0.5607514108736942,1
<A_APPROVED | 2>,A_REGISTERED,<A_REGISTERED | 15>,0.5317460317460317,0.0,67,0.39643365845223577,0.809301070201781,1
<A_APPROVED | 2>,A_REGISTERED,<A_REGISTERED | 23>,0.2857142857142857,0.0,36,0.39643365845223577,0.809301070201781,1
<A_APPROVED | 2>,A_REGISTERED,<A_REGISTERED | 57>,0.1825396825396825,0.0,23,0.39643365845223577,0.809301070201781,1
<A_APPROVED | 37>,A_REGISTERED,<A_REGISTERED | 15>,1.0,0.0,291,0.5538390821232381,0.9889883604371159,1
<A_APPROVED | 43>,A_REGISTERED,<A_REGISTERED | 34>,0.66,0.0,33,0.14088728321606936,0.4189588689292981,1
<A_APPROVED | 43>,A_REGISTERED,<A_REGISTERED | 57>,0.06,0.0,3,0.14088728321606936,0.4189588689292981,1
<A_APPROVED | 43>,A_REGISTERED,<A_REGISTERED | 90>,0.28,0.0,14,0.14088728321606936,0.4189588689292981,1
<A_APPROVED | 44>,A_REGISTERED,<A_REGISTERED | 57>,0.12,0.0,3,0.05897364623558357,0.21957952009677817,1
<A_APPROVED | 44>,A_REGISTERED,<A_REGISTERED | 90>,0.88,0.0,22,0.05897364623558357,0.21957952009677817,1
<A_APPROVED | 46>,A_REGISTERED,<A_REGISTERED | 46>,1.0,0.0,1,3.3786038162046654e-05,0.00892833417605432,1
<A_APPROVED | 50>,A_REGISTERED,<A_REGISTERED | 23>,0.1071428571428571,0.0,9,0.1614711302605253,0.6351489523872873,1
<A_APPROVED | 50>,A_REGISTERED,<A_REGISTERED | 57>,0.0476190476190476,0.0,4,0.1614711302605253,0.6351489523872873,1
<A_APPROVED | 50>,A_REGISTERED,<A_REGISTERED | 66>,0.8452380952380952,0.0,71,0.1614711302605253,0.6351489523872873,1
<A_APPROVED | 53>,A_REGISTERED,<A_REGISTERED | 53>,1.0,0.0,1,3.3786038162046654e-05,0.00892833417605432,1
<A_APPROVED | 57>,A_REGISTERED,<A_REGISTERED | 57>,1.0,0.0,1,0.0014768596107141321,0.00892833417605432,1
<A_APPROVED | 71>,A_REGISTERED,<A_REGISTERED | 71>,1.0,0.0,1,3.3786038162046654e-05,0.00892833417605432,1
<A_APPROVED | 73>,A_REGISTERED,<A_REGISTERED | 34>,0.5,0.0,1,0.0033777828016278055,0.017855245018552957,1
<A_APPROVED | 73>,A_REGISTERED,<A_REGISTERED | 73>,0.5,0.0,1,0.0033777828016278055,0.017855245018552957,1
<A_APPROVED | 85>,A_REGISTERED,<A_REGISTERED | 15>,0.0264550264550264,0.0,5,0.5133118017417637,0.9338280432225917,1
<A_APPROVED | 85>,A_REGISTERED,<A_REGISTERED | 23>,0.9312169312169312,0.0,176,0.5133118017417637,0.9338280432225917,1
<A_APPROVED | 85>,A_REGISTERED,<A_REGISTERED | 57>,0.037037037037037,0.0,7,0.5133118017417637,0.9338280432225917,1
<A_APPROVED | 85>,A_REGISTERED,<A_REGISTERED | 66>,0.0052910052910052,0.0,1,0.5133118017417637,0.9338280432225917,1
<A_APPROVED | 96>,A_REGISTERED,<A_REGISTERED | 34>,1.0,0.0,131,0.3087028730779211,0.8241576454216579,1
<A_APPROVED | 99>,A_REGISTERED,<A_REGISTERED | 34>,0.0617283950617283,0.0,5,0.17843856080997586,0.6188963580741399,1
<A_APPROVED | 99>,A_REGISTERED,<A_REGISTERED | 90>,0.9382716049382716,0.0,76,0.17843856080997586,0.6188963580741399,1
<A_CANCELLED | 14>,END,<END | 14>,1.0,0.04150855639642279,48,0.016774717568541576,0.4041267397578592,1
<A_CANCELLED | 16>,END,<END | 16>,1.0,0.04138363780541109,25,0.009086999329171053,0.21957952009677817,1
<A_CANCELLED | 19>,END,<END | 19>,1.0,0.041840748825339995,2,0.0007470768220361774,0.017855245018552957,1
<A_CANCELLED | 1>,END,<END | 1>,1.0,0.041827641182178896,3,0.0011201153740282106,0.026779310101413212,1
<A_CANCELLED | 20>,END,<END | 20>,1.0,0.041688279355442996,276,0.04108923222574511,0.9856303225040717,1
<A_CANCELLED | 32>,END,<END | 32>,1.0,0.041550482445769296,32,0.011558741332445822,0.2781854903257024,1
<A_CANCELLED | 36>,END,<END | 36>,1.0,0.041478774522334595,96,0.02881873372401055,0.694782670314738,1
<A_CANCELLED | 49>,END,<END | 49>,1.0,0.041642080869909795,76,0.024593391937680963,0.590589889456075,1
<A_CANCELLED | 56>,END,<END | 56>,1.0,0.041968210651816794,1,0.0003747062094704628,0.00892833417605432,1
<A_CANCELLED | 61>,END,<END | 61>,1.0,0.030528490549774193,14,0.0037963094394202297,0.12435300177159625,1
<A_CANCELLED | 67>,END,<END | 67>,1.0,0.04088514433104589,1,0.00036503623142379056,0.00892833417605432,1
<A_CANCELLED | 79>,END,<END | 79>,1.0,0.040999175149570195,19,0.006889255722463953,0.16803400793628342,1
<A_CANCELLED | 80>,END,<END | 80>,1.0,0.04192468833868469,1,0.00037431762771470453,0.00892833417605432,1
<A_CANCELLED | 84>,END,<END | 84>,1.0,0.04170972770998589,1,0.00037239838738698693,0.00892833417605432,1
<A_CANCELLED | 98>,END,<END | 98>,1.0,0.037401830202532696,12,0.003992074831615757,0.10673474559930574,1
<A_DECLINED | 10>,END,<END | 75>,1.0,0.011004561415116798,1,9.8252401775076e-05,0.00892833417605432,1
<A_DECLINED | 14>,END,<END | 92>,1.0,0.030934447834848795,147,0.026755408647897796,0.8649066177207418,1
<A_DECLINED | 16>,END,<END | 86>,0.4675324675324675,0.03365827458968829,36,0.020710672763930398,0.5963735554792424,1
<A_DECLINED | 16>,END,<END | 92>,0.1428571428571428,0.030934447834848795,11,0.020710672763930398,0.5963735554792424,1
<A_DECLINED | 16>,END,<END | 98>,0.3896103896103896,0.037401830202532696,30,0.020710672763930398,0.5963735554792424,1
<A_DECLINED | 18>,END,<END | 24>,0.4324324324324324,0.021177667149045995,32,0.009982065157792635,0.5788385707841248,1
<A_DECLINED | 18>,END,<END | 75>,0.0135135135135135,0.011004561415116798,1,0.009982065157792635,0.5788385707841248,1
<A_DECLINED | 18>,END,<END | 91>,0.5540540540540541,0.014327788374459896,41,0.009982065157792635,0.5788385707841248,1
<A_DECLINED | 19>,END,<END | 19>,1.0,0.041840748825339995,1,0.00037356818768898774,0.00892833417605432,1
<A_DECLINED | 1>,END,<END | 24>,0.8571428571428571,0.021177667149045995,6,0.0014052643964409543,0.062418746747512466,1
<A_DECLINED | 1>,END,<END | 61>,0.1428571428571428,0.030528490549774193,1,0.0014052643964409543,0.062418746747512466,1
<A_DECLINED | 20>,END,<END | 21>,1.0,0.037276830890969594,891,0.03727682171750248,0.9999997539096835,1
<A_DECLINED | 32>,END,<END | 86>,1.0,0.03365827458968829,81,0.02083098356261745,0.6188963580741399,1
<A_DECLINED | 35>,END,<END | 35>,0.5,0.03580541636004209,1,0.00045088234697955414,0.017855245018552957,1
<A_DECLINED | 35>,END,<END | 87>,0.5,0.014698774034550997,1,0.00045088234697955414,0.017855245018552957,1
<A_DECLINED | 36>,END,<END | 97>,1.0,0.034964620168338796,292,0.034586379810513754,0.9891821974326052,1
<A_DECLINED | 3>,END,<END | 3>,0.0588235294117647,0.04172713757335109,1,0.0022758347291308,0.15063069845244337,1
<A_DECLINED | 3>,END,<END | 61>,0.1176470588235294,0.030528490549774193,2,0.0022758347291308,0.15063069845244337,1
<A_DECLINED | 3>,END,<END | 75>,0.8235294117647058,0.011004561415116798,14,0.0022758347291308,0.15063069845244337,1
<A_DECLINED | 41>,END,<END | 41>,0.5,0.04182891872422799,1,0.00047167736653542624,0.017855245018552957,1
<A_DECLINED | 41>,END,<END | 75>,0.5,0.011004561415116798,1,0.00047167736653542624,0.017855245018552957,1
<A_DECLINED | 42>,END,<END | 91>,1.0,0.014327788374459796,1,0.00012792328261096317,0.00892833417605432,1
<A_DECLINED | 49>,END,<END | 86>,1.0,0.03365827458968829,237,0.032694746430693256,0.9713732159256248,1
<A_DECLINED | 4>,END,<END | 91>,1.0,0.014327788374459796,1,0.00012792328261096317,0.00892833417605432,1
<A_DECLINED | 51>,END,<END | 51>,0.25,0.041763659873555695,1,0.0006673711360983344,0.03569910881226934,1
<A_DECLINED | 51>,END,<END | 75>,0.75,0.011004561415116798,3,0.0006673711360983344,0.03569910881226934,1
<A_DECLINED | 52>,END,<END | 61>,1.0,0.030528490549774193,1,0.00027256856551890026,0.00892833417605432,1
<A_DECLINED | 56>,END,<END | 24>,0.8,0.021177667149045995,4,0.0010282380669684732,0.04461322325626049,1
<A_DECLINED | 56>,END,<END | 61>,0.2,0.030528490549774193,1,0.0010282380669684732,0.04461322325626049,1
