s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,10469,0.299553200590894,1.0,1
<A_ACCEPTED | 0>,A_DECLINED,<A_DECLINED | 48>,1.0,0.0,10,0.012863824138353266,0.4256281972349948,0
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 124>,0.0010162601626016,0.0,1,0.3080492254799768,1.0,1
<A_ACCEPTED | 0>,O_SELECTED,<O_SELECTED | 48>,0.9989837398373984,0.0,983,0.3080492254799768,1.0,1
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.1428571428571428,0.0,2,0.11953674056845855,0.5624185091066973,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.0714285714285714,0.0,1,0.11953674056845855,0.5624185091066973,0
<A_ACCEPTED | 0>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.7857142857142857,0.0,11,0.11953674056845855,0.5624185091066973,0
<A_ACCEPTED | 131>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,82,0.2593483329564615,0.9988430602555294,1
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,0.5,0.0,1,0.00254971727111146,0.0906594777770402,0
<A_ACCEPTED | 131>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.5,0.0,1,0.00254971727111146,0.0906594777770402,0
<A_ACCEPTED | 14>,O_SELECTED,<O_SELECTED | 124>,1.0,0.0,19,0.18126765435142042,0.6981264792941997,1
<A_ACCEPTED | 14>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,1.0,0.0,1,0.0004339187415388714,0.04542326652127837,0
<A_ACCEPTED | 37>,A_DECLINED,<A_DECLINED | 124>,1.0,0.0,1,0.00016810685462417176,0.04542326652127837,0
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 124>,0.2208955223880597,0.0,74,0.29739613412642185,0.9999999999998812,1
<A_ACCEPTED | 37>,O_SELECTED,<O_SELECTED | 48>,0.7791044776119403,0.0,261,0.29739613412642185,0.9999999999998812,1
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<A_CANCELLED | 124>,0.1818181818181818,0.0,2,0.08061496499042468,0.4621171572600098,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.0909090909090909,0.0,1,0.08061496499042468,0.4621171572600098,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.0909090909090909,0.0,1,0.08061496499042468,0.4621171572600098,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.6363636363636364,0.0,7,0.08061496499042468,0.4621171572600098,0
<A_ACCEPTED | 56>,A_DECLINED,<A_DECLINED | 48>,1.0,0.0,9,0.01171752998078489,0.38770050866125383,0
<A_ACCEPTED | 56>,O_SELECTED,<O_SELECTED | 48>,1.0,0.0,2567,0.3080984630126189,1.0,1
<A_ACCEPTED | 56>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.1379310344827586,0.0,4,0.19821370579923456,0.8663310599667433,0
<A_ACCEPTED | 56>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.8620689655172413,0.0,25,0.19821370579923456,0.8663310599667433,0
<A_ACTIVATED | 111>,END,<END | 135>,0.0714285714285714,0.5300743297762837,2,0.32438546120209977,0.8545351056874642,1
<A_ACTIVATED | 111>,END,<END | 84>,0.9285714285714286,0.3680300107221379,26,0.32438546120209977,0.8545351056874642,1
<A_ACTIVATED | 112>,END,<END | 33>,0.4003984063745019,0.4941099690632866,201,0.4233425926840668,1.0,1
