s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,22496,0.7248579489414047,1,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 15>,0.9838082901554404,0.0,1519,0.621038176535988,1,1
<A_Accepted | 15>,O_CreateOffer,<O_CreateOffer | 59>,0.0161917098445595,0.0,25,0.621038176535988,1,1
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 15>,0.8125,0.0,26,0.0,0,0
<A_Accepted | 15>,W_Completeapplication,<W_Completeapplication | 59>,0.1875,0.0,6,0.0,0,0
<A_Accepted | 36>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,14794,0.6203617456459154,1,1
<A_Accepted | 36>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 59>,1.0,0.0,2,0.0,0,0
<A_Accepted | 36>,W_Completeapplication,<W_Completeapplication | 59>,1.0,0.0,4,0.0,0,0
<A_Accepted | 36>,W_Shortenedcompletion,<W_Shortenedcompletion | 59>,1.0,0.0,4,0.0,0,0
<A_Accepted | 84>,O_CreateOffer,<O_CreateOffer | 59>,1.0,0.0,1,0.0,0,1
<A_Accepted | 8>,O_CreateOffer,<O_CreateOffer | 17>,1.0,0.0,6114,0.7259357738994,1,1
<A_Accepted | 8>,W_Assesspotentialfraud,<W_Assesspotentialfraud | 17>,1.0,0.0,1,0.0,0,0
<A_Cancelled | 10>,END,<END | 10>,1.0,0.0427817388124702,2,0.0,0,1
<A_Cancelled | 10>,O_Cancelled,<O_Cancelled | 10>,1.0,0.0,28,0.0,0,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 12>,0.7058823529411765,0.0,12,0.0,0,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 33>,0.0588235294117647,0.0,1,0.0,0,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 45>,0.1764705882352941,0.0,3,0.0,0,1
<A_Cancelled | 12>,O_Cancelled,<O_Cancelled | 62>,0.0588235294117647,0.0,1,0.0,0,1
<A_Cancelled | 13>,O_Cancelled,<O_Cancelled | 13>,1.0,0.0,15,0.0,0,1
<A_Cancelled | 18>,END,<END | 18>,0.25,0.0410873162110449,1,0.0,0,1
<A_Cancelled | 18>,END,<END | 62>,0.75,0.0045500447621711,3,0.0,0,1
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 18>,0.4,0.0,2,0.0,0,1
<A_Cancelled | 18>,O_Cancelled,<O_Cancelled | 62>,0.6,0.0,3,0.0,0,1
<A_Cancelled | 19>,END,<END | 24>,1.0,0.0140098271870341,1,0.0,0,1
<A_Cancelled | 19>,O_Cancelled,<O_Cancelled | 19>,1.0,0.0,2,0.0,0,1
<A_Cancelled | 1>,O_Cancelled,<O_Cancelled | 1>,1.0,0.0,3,0.0,0,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 34>,0.9906542056074766,0.0,106,0.025893279195962075,1,1
<A_Cancelled | 23>,O_Cancelled,<O_Cancelled | 82>,0.0093457943925233,0.0,1,0.025893279195962075,1,1
<A_Cancelled | 26>,O_Cancelled,<O_Cancelled | 26>,1.0,0.0,12,0.0,0,1
<A_Cancelled | 28>,O_Cancelled,<O_Cancelled | 28>,1.0,0.0,91,0.0045500447621711,1,1
<A_Cancelled | 2>,END,<END | 24>,1.0,0.0140098271870341,31,0.0,0,0
<A_Cancelled | 2>,O_Cancelled,<O_Cancelled | 34>,1.0,0.0,3322,0.026137555414791906,1,1
<A_Cancelled | 33>,END,<END | 62>,1.0,0.0045500447621711,1,0.0,0,1
<A_Cancelled | 33>,O_Cancelled,<O_Cancelled | 33>,1.0,0.0,8,0.0,0,1
<A_Cancelled | 3>,END,<END | 3>,1.0,0.0427978770460862,5,0.0,0,1
<A_Cancelled | 3>,O_Cancelled,<O_Cancelled | 3>,1.0,0.0,30,0.0,0,1
<A_Cancelled | 41>,END,<END | 62>,1.0,0.0045500447621711,8,0.0,0,0
<A_Cancelled | 41>,O_Cancelled,<O_Cancelled | 41>,1.0,0.0,51,0.0045500447621711,1,1
<A_Cancelled | 45>,END,<END | 62>,1.0,0.0045500447621711,2,0.0,0,1
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 45>,0.8571428571428571,0.0,30,0.0,0,1
<A_Cancelled | 45>,O_Cancelled,<O_Cancelled | 62>,0.1428571428571428,0.0,5,0.0,0,1
<A_Cancelled | 46>,END,<END | 46>,1.0,0.0263238087787928,1,0.0,0,1
<A_Cancelled | 46>,O_Cancelled,<O_Cancelled | 46>,1.0,0.0,14,0.0,0,1
<A_Cancelled | 47>,O_Cancelled,<O_Cancelled | 47>,1.0,0.0,30,0.0,0,1
<A_Cancelled | 48>,END,<END | 62>,1.0,0.0045500447621711,11,0.0,0,1
<A_Cancelled | 48>,O_Cancelled,<O_Cancelled | 62>,1.0,0.0,31,0.0,0,1
<A_Cancelled | 49>,O_Cancelled,<O_Cancelled | 49>,1.0,0.0,48,0.003970948156076683,1,1
